C = 3;C = 5;C = 8
5.48000;12.04000;23.92000
6.48000;11.28000;24.88000
6.36000;11.92000;23.44000
6.28000;11.84000;23.96000
6.36000;11.84000;23.40000
6.60000;11.88000;22.76000
6.40000;11.12000;24.12000
6.20000;10.84000;24.56000
6.04000;12.04000;24.84000
5.76000;12.28000;24.24000
5.80000;11.40000;25.04000
5.04000;10.80000;24.04000
5.04000;11.12000;23.52000
5.44000;11.32000;23.68000
5.72000;12.16000;24.04000
5.12000;11.60000;24.12000
5.24000;11.84000;23.00000
5.16000;11.28000;22.20000
5.84000;11.48000;22.12000
5.40000;12.28000;23.88000
5.60000;11.96000;23.92000
6.08000;13.36000;23.44000
5.64000;13.40000;23.88000
5.96000;12.72000;24.16000
5.52000;12.72000;23.84000
5.64000;12.88000;24.12000
5.24000;12.96000;22.72000
6.20000;12.88000;24.32000
5.72000;13.44000;24.08000
6.20000;12.68000;24.12000
6.64000;12.24000;25.04000
6.16000;11.32000;24.48000
6.64000;11.44000;24.04000
6.92000;11.00000;24.52000
6.96000;11.92000;24.32000
7.40000;11.72000;23.88000
6.36000;11.60000;23.56000
6.04000;12.32000;23.60000
6.12000;11.88000;23.32000
6.72000;11.68000;24.12000
6.28000;12.20000;24.48000
5.92000;11.76000;24.32000
6.36000;11.72000;24.32000
6.00000;11.64000;24.32000
6.12000;11.80000;24.68000
6.44000;11.92000;23.60000
7.08000;12.28000;23.80000
6.72000;11.36000;25.52000
7.64000;11.64000;23.84000
7.08000;12.12000;23.96000
7.44000;12.52000;23.84000
7.04000;12.48000;24.60000
6.52000;11.96000;24.12000
7.20000;11.64000;24.68000
6.84000;11.36000;24.84000
6.44000;11.32000;24.12000
6.28000;11.92000;24.28000
5.92000;11.24000;24.60000
5.96000;11.64000;24.32000
5.44000;10.76000;23.40000
5.28000;11.16000;23.40000
5.32000;12.16000;24.48000
5.56000;12.24000;25.24000
5.52000;12.00000;24.04000
5.80000;12.44000;25.16000
6.04000;13.00000;23.76000
6.24000;13.40000;23.56000
7.04000;13.40000;22.64000
6.44000;13.64000;23.28000
5.80000;13.04000;22.92000
6.00000;12.40000;22.96000
5.96000;11.92000;23.04000
6.40000;11.88000;23.32000
6.16000;12.24000;23.24000
6.04000;12.76000;23.16000
6.12000;12.20000;24.36000
5.48000;12.20000;25.72000
5.96000;11.76000;25.52000
5.60000;11.56000;23.72000
5.56000;11.56000;23.80000
5.60000;10.64000;23.76000
6.44000;11.84000;23.28000
6.40000;12.20000;24.40000
6.28000;12.04000;24.12000
5.92000;11.92000;24.64000
5.92000;11.08000;23.72000
5.68000;11.00000;22.84000
5.52000;11.24000;24.00000
5.72000;10.96000;24.44000
6.28000;11.80000;24.36000
6.76000;12.08000;24.88000
7.36000;11.20000;24.36000
6.60000;10.48000;23.80000
6.64000;11.40000;23.60000
7.20000;11.40000;23.76000
7.00000;11.76000;23.40000
7.00000;11.88000;23.24000
7.00000;12.56000;23.04000
6.56000;12.52000;23.12000
6.60000;12.08000;22.88000
6.52000;12.32000;22.92000
6.56000;11.76000;23.68000
6.68000;11.32000;24.64000
6.60000;11.00000;24.24000
6.92000;10.56000;24.04000
6.32000;10.84000;24.08000
6.24000;11.08000;24.28000
6.40000;11.00000;24.36000
5.48000;11.16000;24.72000
6.00000;11.12000;24.64000
6.32000;11.24000;24.00000
5.88000;11.92000;24.20000
5.80000;11.88000;24.92000
6.04000;11.72000;23.08000
6.36000;11.20000;24.24000
6.20000;10.88000;23.04000
6.00000;10.80000;22.40000
5.40000;11.00000;22.12000
5.28000;10.88000;23.36000
5.36000;11.68000;23.92000
5.68000;12.00000;24.28000
5.84000;11.72000;24.32000
6.32000;11.48000;23.88000
6.84000;10.96000;24.92000
5.92000;11.00000;24.48000
6.08000;10.56000;24.40000
5.24000;11.16000;23.36000
5.28000;11.80000;23.32000
4.92000;11.08000;24.44000
5.36000;11.44000;23.76000
5.52000;11.12000;22.88000
5.00000;11.44000;23.76000
5.56000;12.08000;24.52000
5.72000;11.16000;24.28000
6.60000;11.84000;22.80000
6.56000;12.04000;23.84000
6.72000;12.56000;23.04000
6.96000;13.52000;23.52000
6.60000;12.52000;23.88000
6.76000;12.32000;23.40000
6.64000;11.72000;24.08000
6.84000;11.52000;23.36000
5.84000;12.28000;23.48000
5.88000;12.00000;22.92000
5.72000;11.44000;23.32000
5.60000;12.24000;24.60000
4.60000;12.64000;23.60000
4.76000;12.16000;23.12000
4.96000;12.44000;23.00000
5.68000;12.60000;22.84000
5.24000;12.44000;23.44000
5.28000;12.04000;22.68000
4.92000;11.96000;23.12000
5.32000;11.12000;22.64000
5.24000;10.84000;24.08000
5.48000;11.96000;22.80000
5.76000;11.92000;22.96000
5.60000;11.40000;24.44000
5.20000;11.16000;23.60000
5.64000;11.48000;23.20000
5.72000;11.16000;22.88000
5.52000;11.44000;24.08000
5.36000;12.44000;23.20000
5.84000;12.08000;23.96000
5.80000;12.76000;23.24000
5.76000;12.40000;23.04000
5.92000;12.00000;23.12000
6.04000;12.28000;23.32000
6.00000;12.20000;24.16000
6.72000;13.16000;25.00000
6.56000;12.24000;24.76000
7.28000;11.60000;24.56000
7.48000;12.28000;25.04000
7.24000;12.28000;25.04000
6.68000;12.32000;23.88000
6.60000;11.76000;23.84000
6.16000;11.80000;23.96000
6.48000;12.12000;22.60000
6.84000;12.56000;22.24000
6.28000;11.64000;21.92000
6.40000;12.00000;22.08000
6.32000;11.88000;23.24000
5.64000;12.72000;23.96000
5.88000;13.12000;24.04000
5.32000;13.36000;23.16000
5.56000;14.20000;22.20000
5.12000;13.68000;23.24000
5.08000;12.56000;22.96000
5.36000;12.72000;22.88000
5.24000;13.24000;21.96000
5.56000;12.84000;23.48000
6.08000;12.52000;23.76000
6.00000;11.80000;22.96000
5.56000;11.16000;21.44000
6.16000;12.12000;23.44000
6.08000;11.36000;23.76000
6.16000;10.44000;23.00000
6.24000;11.40000;21.84000
6.76000;11.08000;22.44000
6.28000;10.92000;22.60000
6.00000;11.08000;22.84000
5.96000;11.04000;23.20000
5.84000;10.56000;23.00000
5.80000;11.12000;24.28000
6.00000;11.32000;23.48000
6.12000;11.28000;24.00000
5.84000;10.80000;24.00000
6.64000;10.24000;23.40000
6.52000;11.04000;22.80000
6.84000;10.84000;22.92000
6.64000;11.40000;23.68000
6.92000;11.36000;23.84000
7.24000;11.04000;24.32000
6.76000;12.20000;23.32000
6.72000;12.56000;23.68000
6.00000;12.36000;23.76000
5.68000;11.80000;22.64000
6.04000;11.92000;22.88000
6.04000;12.72000;23.36000
6.00000;12.44000;22.72000
6.20000;12.40000;23.16000
5.96000;11.76000;24.48000
5.92000;12.20000;24.68000
5.72000;12.16000;23.24000
5.16000;12.56000;23.36000
4.92000;11.76000;22.68000
5.60000;11.44000;23.12000
6.52000;11.28000;22.92000
6.48000;11.88000;24.20000
7.36000;11.48000;23.16000
6.52000;11.92000;22.44000
6.68000;11.72000;22.68000
6.44000;12.56000;23.52000
6.24000;13.32000;22.84000
5.92000;13.76000;23.44000
5.32000;13.16000;22.96000
5.12000;12.24000;23.36000
4.96000;12.16000;24.16000
4.68000;13.24000;24.24000
5.00000;12.96000;23.36000
5.16000;12.52000;22.40000
5.04000;13.32000;22.96000
5.00000;12.88000;22.76000
5.44000;12.72000;23.20000
