action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.004;0.204;0.16;0.232;0.188;0.212
0;0.208;0.156;0.236;0.184;0.216
0;0.204;0.16;0.232;0.192;0.212
0;0.204;0.168;0.236;0.184;0.208
0;0.212;0.164;0.228;0.184;0.212
0;0.212;0.16;0.232;0.184;0.212
0;0.212;0.16;0.236;0.184;0.208
0;0.208;0.16;0.24;0.184;0.208
0;0.208;0.16;0.232;0.192;0.208
0;0.196;0.172;0.236;0.188;0.208
0.008;0.208;0.152;0.236;0.184;0.212
0.008;0.208;0.16;0.236;0.184;0.204
0;0.208;0.168;0.236;0.18;0.208
0;0.208;0.16;0.24;0.184;0.208
0.004;0.212;0.164;0.232;0.18;0.208
0;0.204;0.168;0.236;0.184;0.208
0;0.208;0.168;0.228;0.188;0.208
0.008;0.204;0.164;0.244;0.18;0.2
0.008;0.208;0.16;0.236;0.184;0.204
0;0.204;0.164;0.232;0.188;0.212
0;0.208;0.16;0.236;0.188;0.208
0;0.212;0.156;0.236;0.184;0.212
0.004;0.216;0.16;0.22;0.188;0.212
0;0.212;0.16;0.228;0.188;0.212
0.004;0.208;0.16;0.232;0.188;0.208
0;0.208;0.164;0.228;0.184;0.216
0.008;0.2;0.176;0.228;0.176;0.212
0;0.208;0.16;0.232;0.184;0.216
0.004;0.212;0.16;0.228;0.18;0.216
0.004;0.208;0.164;0.228;0.184;0.212
0;0.212;0.168;0.228;0.18;0.212
0;0.204;0.168;0.22;0.192;0.216
0;0.208;0.164;0.228;0.184;0.216
0.004;0.208;0.16;0.228;0.184;0.216
0;0.216;0.164;0.228;0.184;0.208
0.004;0.208;0.164;0.228;0.18;0.216
0;0.204;0.18;0.224;0.176;0.216
0.004;0.204;0.164;0.228;0.18;0.22
0.004;0.2;0.172;0.228;0.18;0.216
0;0.208;0.172;0.224;0.18;0.216
0;0.208;0.164;0.228;0.18;0.22
0.004;0.208;0.172;0.224;0.18;0.212
0;0.204;0.172;0.228;0.176;0.22
0.004;0.204;0.172;0.22;0.184;0.216
0.004;0.204;0.184;0.212;0.176;0.22
0;0.2;0.176;0.224;0.18;0.22
0.004;0.204;0.172;0.228;0.18;0.212
0;0.2;0.176;0.228;0.184;0.212
0.012;0.204;0.172;0.224;0.18;0.208
0.004;0.204;0.176;0.22;0.176;0.22
0.004;0.2;0.18;0.22;0.184;0.212
0.004;0.204;0.184;0.216;0.18;0.212
0.004;0.2;0.176;0.22;0.184;0.216
0.004;0.208;0.176;0.216;0.184;0.212
0;0.204;0.18;0.216;0.18;0.22
0.004;0.2;0.176;0.228;0.184;0.208
0.004;0.196;0.172;0.224;0.188;0.216
0.004;0.2;0.176;0.216;0.192;0.212
0.004;0.2;0.18;0.216;0.192;0.208
0;0.204;0.18;0.216;0.188;0.212
0.012;0.208;0.172;0.216;0.188;0.204
0.016;0.208;0.172;0.212;0.184;0.208
0;0.2;0.176;0.22;0.188;0.216
0;0.208;0.18;0.216;0.188;0.208
0.004;0.204;0.18;0.22;0.184;0.208
0.004;0.2;0.184;0.22;0.184;0.208
0;0.208;0.18;0.216;0.18;0.216
0;0.208;0.176;0.216;0.192;0.208
0.004;0.204;0.176;0.212;0.188;0.216
0.008;0.208;0.172;0.22;0.184;0.208
0.008;0.208;0.176;0.22;0.184;0.204
0;0.204;0.18;0.216;0.192;0.208
0;0.208;0.172;0.216;0.188;0.216
0.012;0.204;0.172;0.216;0.18;0.216
0;0.204;0.172;0.22;0.184;0.22
0;0.204;0.18;0.216;0.188;0.212
0;0.204;0.176;0.22;0.184;0.216
0;0.204;0.176;0.228;0.184;0.208
0;0.204;0.176;0.228;0.184;0.208
0;0.204;0.18;0.22;0.184;0.212
0;0.204;0.176;0.22;0.188;0.212
0.004;0.208;0.172;0.224;0.184;0.208
0;0.2;0.172;0.224;0.192;0.212
0.008;0.212;0.16;0.228;0.184;0.208
0;0.204;0.168;0.228;0.188;0.212
0;0.208;0.164;0.232;0.188;0.208
0;0.208;0.172;0.224;0.188;0.208
0;0.204;0.172;0.224;0.196;0.204
0.004;0.204;0.176;0.22;0.192;0.204
0.004;0.204;0.172;0.232;0.188;0.2
0.004;0.204;0.176;0.224;0.188;0.204
0;0.208;0.172;0.224;0.192;0.204
0.004;0.208;0.168;0.22;0.192;0.208
0.004;0.196;0.172;0.224;0.196;0.208
0.008;0.204;0.172;0.228;0.192;0.196
0.004;0.196;0.176;0.232;0.192;0.2
0;0.2;0.18;0.232;0.196;0.192
0;0.2;0.172;0.236;0.192;0.2
0.004;0.204;0.176;0.232;0.192;0.192
0;0.2;0.172;0.236;0.196;0.196
0;0.204;0.172;0.24;0.196;0.188
0.004;0.204;0.168;0.236;0.192;0.196
0;0.2;0.168;0.232;0.196;0.204
0.004;0.204;0.172;0.236;0.196;0.188
0;0.204;0.172;0.232;0.196;0.196
0;0.208;0.172;0.236;0.196;0.188
0.008;0.2;0.168;0.236;0.196;0.192
0;0.208;0.168;0.24;0.192;0.192
0.004;0.2;0.168;0.228;0.192;0.208
0;0.204;0.172;0.236;0.196;0.192
0;0.208;0.164;0.236;0.196;0.196
0.004;0.208;0.176;0.228;0.196;0.188
0;0.204;0.172;0.232;0.2;0.192
0.004;0.204;0.168;0.236;0.192;0.196
0.004;0.204;0.164;0.232;0.204;0.192
0.004;0.2;0.168;0.232;0.204;0.192
0;0.208;0.172;0.236;0.196;0.188
0;0.204;0.168;0.236;0.196;0.196
0.008;0.2;0.164;0.236;0.196;0.196
0.008;0.2;0.168;0.232;0.196;0.196
0;0.204;0.172;0.228;0.196;0.2
0;0.2;0.172;0.232;0.208;0.188
0.008;0.204;0.168;0.232;0.204;0.184
0.008;0.204;0.168;0.232;0.196;0.192
0.004;0.192;0.172;0.24;0.2;0.192
0;0.204;0.16;0.24;0.196;0.2
0.008;0.2;0.172;0.236;0.196;0.188
0;0.2;0.172;0.232;0.196;0.2
0;0.2;0.172;0.24;0.196;0.192
0.008;0.2;0.168;0.232;0.196;0.196
0.004;0.2;0.172;0.236;0.2;0.188
0;0.196;0.172;0.248;0.192;0.192
0;0.2;0.172;0.24;0.196;0.192
0;0.188;0.176;0.24;0.2;0.196
0.008;0.2;0.176;0.236;0.192;0.188
0;0.2;0.172;0.236;0.2;0.192
0;0.2;0.176;0.236;0.196;0.192
0.004;0.196;0.176;0.236;0.196;0.192
0;0.2;0.172;0.236;0.2;0.192
0.004;0.2;0.172;0.232;0.2;0.192
0.004;0.196;0.172;0.236;0.204;0.188
0;0.204;0.172;0.236;0.2;0.188
0;0.2;0.18;0.232;0.2;0.188
0.008;0.208;0.172;0.22;0.2;0.192
0;0.2;0.176;0.236;0.204;0.184
0.008;0.2;0.172;0.24;0.192;0.188
0;0.196;0.18;0.24;0.192;0.192
0.008;0.196;0.172;0.236;0.192;0.196
0.004;0.196;0.18;0.236;0.196;0.188
0;0.2;0.168;0.236;0.204;0.192
0.004;0.196;0.168;0.244;0.192;0.196
0;0.204;0.176;0.236;0.2;0.184
0;0.2;0.176;0.236;0.192;0.196
0.004;0.196;0.172;0.236;0.196;0.196
0.008;0.2;0.176;0.232;0.192;0.192
0.004;0.196;0.176;0.236;0.2;0.188
0;0.2;0.168;0.24;0.2;0.192
0;0.196;0.168;0.24;0.204;0.192
0;0.204;0.176;0.232;0.192;0.196
0;0.208;0.172;0.236;0.196;0.188
0;0.196;0.176;0.24;0.196;0.192
0;0.196;0.176;0.236;0.196;0.196
0.004;0.192;0.184;0.236;0.192;0.192
0;0.204;0.18;0.236;0.188;0.192
0.004;0.212;0.164;0.24;0.192;0.188
0.012;0.208;0.18;0.224;0.188;0.188
0.004;0.208;0.184;0.22;0.196;0.188
0;0.204;0.184;0.228;0.192;0.192
0.004;0.204;0.18;0.228;0.192;0.192
0.004;0.2;0.18;0.24;0.184;0.192
0.004;0.212;0.176;0.228;0.2;0.18
0.012;0.204;0.18;0.228;0.188;0.188
0.004;0.196;0.18;0.232;0.196;0.192
0.004;0.2;0.176;0.224;0.196;0.2
0.004;0.2;0.18;0.224;0.2;0.192
0;0.204;0.184;0.232;0.196;0.184
0.004;0.204;0.184;0.24;0.188;0.18
0.004;0.196;0.176;0.24;0.196;0.188
0;0.204;0.184;0.228;0.196;0.188
0;0.2;0.18;0.236;0.2;0.184
0;0.2;0.184;0.228;0.196;0.192
0;0.196;0.184;0.232;0.2;0.188
0.004;0.196;0.184;0.232;0.2;0.184
0.004;0.204;0.18;0.228;0.192;0.192
0;0.2;0.188;0.228;0.196;0.188
0.008;0.204;0.184;0.224;0.196;0.184
0.012;0.2;0.184;0.228;0.188;0.188
0.004;0.2;0.176;0.228;0.196;0.196
0.004;0.204;0.18;0.228;0.196;0.188
0.004;0.2;0.18;0.224;0.2;0.192
0;0.216;0.184;0.22;0.192;0.188
0;0.196;0.184;0.22;0.2;0.2
0;0.204;0.184;0.224;0.2;0.188
0;0.204;0.176;0.228;0.2;0.192
0;0.196;0.188;0.232;0.196;0.188
0;0.2;0.188;0.236;0.196;0.18
0;0.2;0.188;0.22;0.2;0.192
0;0.2;0.184;0.224;0.208;0.184
0;0.196;0.184;0.232;0.196;0.192
0;0.196;0.188;0.224;0.2;0.192
0;0.204;0.188;0.22;0.196;0.192
0;0.204;0.188;0.224;0.196;0.188
0;0.204;0.192;0.228;0.196;0.18
0.004;0.2;0.184;0.224;0.192;0.196
0.008;0.196;0.184;0.224;0.196;0.192
0.004;0.196;0.184;0.228;0.2;0.188
0.004;0.196;0.188;0.224;0.196;0.192
0;0.2;0.192;0.228;0.196;0.184
0;0.208;0.184;0.224;0.2;0.184
0;0.2;0.192;0.224;0.196;0.188
0;0.2;0.188;0.228;0.196;0.188
0.012;0.192;0.188;0.224;0.196;0.188
0.004;0.2;0.188;0.224;0.196;0.188
0.004;0.2;0.184;0.224;0.196;0.192
0;0.196;0.192;0.224;0.2;0.188
0.004;0.196;0.192;0.224;0.192;0.192
0;0.208;0.184;0.224;0.192;0.192
0;0.192;0.192;0.224;0.196;0.196
0.004;0.192;0.188;0.232;0.196;0.188
0.008;0.196;0.18;0.224;0.2;0.192
0;0.2;0.188;0.224;0.196;0.192
0.004;0.192;0.184;0.224;0.192;0.204
0.004;0.204;0.184;0.228;0.192;0.188
0.004;0.192;0.192;0.224;0.196;0.192
