W = 50;W = 100;W = 250
27.44000;17.08000;11.20000
29.16000;17.16000;10.48000
30.64000;16.72000;11.40000
29.72000;17.32000;11.40000
28.52000;17.88000;11.76000
30.12000;17.60000;11.88000
30.36000;18.48000;12.56000
30.48000;17.76000;12.52000
29.48000;17.68000;12.08000
29.04000;18.20000;12.32000
29.40000;17.52000;11.76000
30.56000;17.28000;11.32000
28.92000;18.00000;11.00000
27.92000;17.88000;10.56000
27.00000;17.32000;10.84000
29.28000;16.80000;11.08000
30.84000;18.92000;11.00000
30.80000;17.16000;11.16000
29.96000;16.84000;11.12000
28.96000;17.96000;11.24000
28.72000;17.52000;11.92000
31.36000;18.44000;11.88000
29.48000;18.84000;11.72000
30.36000;17.44000;11.20000
27.96000;18.64000;10.88000
29.92000;19.36000;10.80000
29.48000;18.08000;11.00000
30.64000;17.04000;10.88000
31.04000;16.72000;11.68000
28.48000;17.88000;12.00000
30.12000;16.92000;11.72000
29.76000;17.24000;11.48000
30.16000;17.68000;10.96000
29.72000;18.48000;11.00000
30.88000;17.72000;10.56000
29.96000;16.88000;11.16000
30.52000;17.12000;11.80000
29.92000;16.88000;11.08000
30.40000;17.80000;11.44000
28.16000;16.76000;11.12000
29.52000;17.92000;11.44000
29.12000;17.52000;12.08000
30.32000;18.60000;11.16000
29.04000;18.52000;11.84000
28.32000;18.96000;12.04000
29.64000;19.20000;12.56000
28.12000;17.84000;13.52000
28.92000;17.28000;12.52000
29.92000;17.00000;12.32000
29.04000;17.24000;11.72000
28.60000;16.36000;11.52000
30.88000;18.00000;12.28000
29.92000;17.96000;12.00000
30.20000;17.68000;11.44000
29.24000;16.88000;12.24000
29.40000;18.60000;12.64000
29.68000;17.00000;12.16000
30.12000;17.28000;12.44000
30.92000;17.80000;12.60000
29.20000;17.76000;12.44000
29.48000;18.28000;12.04000
28.72000;17.12000;11.96000
29.60000;16.40000;11.12000
29.84000;17.40000;10.84000
29.08000;17.16000;11.96000
29.24000;17.72000;11.92000
28.08000;19.12000;11.40000
27.96000;18.12000;11.16000
29.80000;17.92000;11.48000
29.40000;19.16000;11.16000
29.40000;18.72000;11.44000
29.80000;18.00000;12.44000
30.72000;18.96000;12.08000
30.56000;19.48000;12.76000
29.92000;18.88000;12.40000
30.16000;18.16000;12.00000
28.76000;17.92000;12.28000
28.84000;18.68000;12.20000
29.56000;17.04000;13.16000
30.20000;16.36000;12.24000
29.96000;16.20000;11.60000
30.88000;18.12000;12.28000
29.44000;17.32000;12.28000
30.08000;18.04000;12.32000
27.64000;18.12000;11.76000
28.52000;18.08000;11.80000
28.72000;16.80000;12.12000
29.00000;16.20000;12.56000
28.64000;17.08000;11.64000
28.88000;17.88000;12.00000
29.92000;17.16000;11.88000
28.84000;17.28000;12.72000
30.36000;17.36000;13.12000
27.52000;18.76000;13.36000
28.32000;18.64000;14.20000
29.60000;18.60000;13.68000
30.04000;18.28000;12.56000
28.96000;18.40000;12.72000
29.32000;18.24000;13.24000
28.32000;17.48000;12.84000
30.08000;17.88000;12.52000
28.52000;17.52000;11.80000
28.92000;17.96000;11.16000
28.60000;17.36000;12.12000
29.36000;17.52000;11.36000
30.72000;18.12000;10.44000
30.12000;18.00000;11.40000
30.76000;17.72000;11.08000
28.96000;16.08000;10.92000
29.36000;16.44000;11.08000
29.88000;17.00000;11.04000
29.68000;16.48000;10.56000
28.80000;18.16000;11.12000
28.76000;17.68000;11.32000
29.60000;18.36000;11.28000
27.68000;17.28000;10.80000
28.80000;17.08000;10.24000
28.36000;18.24000;11.04000
29.16000;18.32000;10.84000
29.52000;17.36000;11.40000
29.52000;16.20000;11.36000
28.56000;17.12000;11.04000
29.28000;17.64000;12.20000
28.12000;17.80000;12.56000
28.20000;17.56000;12.36000
28.56000;16.60000;11.80000
28.12000;16.48000;11.92000
29.48000;16.32000;12.72000
29.96000;16.04000;12.44000
29.32000;17.20000;12.40000
30.00000;16.60000;11.76000
30.24000;17.76000;12.20000
30.28000;16.68000;12.16000
31.52000;16.92000;12.56000
30.40000;16.68000;11.76000
30.52000;16.92000;11.44000
30.04000;16.36000;11.28000
29.24000;15.84000;11.88000
29.76000;17.24000;11.48000
28.76000;16.84000;11.92000
29.24000;14.96000;11.72000
29.52000;17.44000;12.56000
29.48000;18.24000;13.32000
28.40000;17.84000;13.76000
28.72000;17.20000;13.16000
28.56000;18.00000;12.24000
26.36000;17.52000;12.16000
28.92000;17.36000;13.24000
27.96000;17.12000;12.96000
29.32000;16.60000;12.52000
29.32000;18.64000;13.32000
28.80000;17.16000;12.88000
29.60000;17.96000;12.72000
27.48000;17.32000;12.68000
28.32000;17.68000;11.80000
28.12000;18.00000;11.16000
28.92000;17.20000;11.04000
29.56000;17.32000;10.48000
27.80000;17.96000;11.48000
29.08000;16.64000;10.12000
29.96000;17.68000;9.72000
29.72000;17.72000;10.00000
30.80000;17.12000;10.76000
30.68000;16.68000;11.40000
29.68000;17.24000;11.28000
28.68000;18.28000;11.28000
28.96000;17.60000;11.24000
28.52000;17.80000;11.04000
27.84000;17.52000;11.16000
28.72000;17.92000;11.44000
29.24000;17.16000;11.64000
28.92000;17.56000;11.76000
28.84000;18.48000;10.72000
29.04000;18.04000;12.24000
30.00000;19.28000;13.00000
30.56000;17.04000;12.36000
28.52000;17.84000;13.44000
29.52000;18.28000;12.92000
29.44000;17.64000;12.00000
27.72000;18.68000;12.00000
30.52000;17.92000;11.96000
30.96000;17.68000;11.84000
29.52000;18.32000;11.28000
30.36000;18.28000;11.32000
29.20000;18.12000;11.48000
29.16000;18.36000;11.08000
28.96000;17.08000;11.48000
30.08000;17.48000;11.32000
28.56000;16.68000;10.32000
28.32000;18.00000;10.40000
29.68000;17.16000;10.00000
29.88000;17.48000;11.12000
27.76000;17.80000;11.76000
29.28000;18.56000;11.48000
29.40000;17.56000;11.32000
30.28000;19.24000;11.44000
29.24000;18.48000;12.12000
29.76000;18.24000;12.00000
29.52000;18.40000;12.48000
29.16000;18.24000;11.88000
29.32000;16.40000;12.48000
28.44000;16.64000;12.64000
30.28000;17.16000;12.04000
28.28000;19.00000;11.92000
28.68000;18.84000;12.36000
28.00000;17.40000;11.72000
28.68000;17.72000;12.04000
29.64000;17.36000;12.08000
30.52000;16.32000;11.24000
30.00000;17.56000;12.20000
29.80000;17.16000;11.88000
29.24000;15.88000;12.36000
30.40000;16.48000;11.52000
30.32000;17.72000;10.96000
31.00000;17.68000;10.84000
29.72000;18.40000;11.04000
30.12000;17.84000;10.80000
29.24000;18.72000;10.88000
30.56000;17.24000;11.52000
30.20000;17.96000;11.00000
30.44000;17.68000;11.08000
29.20000;18.08000;11.32000
29.92000;17.52000;11.64000
28.28000;17.16000;11.20000
29.36000;16.92000;11.60000
30.92000;16.36000;11.40000
29.36000;16.28000;10.88000
28.80000;18.08000;11.36000
30.08000;17.84000;9.72000
30.04000;16.80000;10.00000
30.56000;16.04000;10.36000
29.96000;16.96000;10.24000
29.60000;17.40000;10.40000
29.64000;18.08000;10.36000
29.80000;16.96000;10.88000
28.92000;18.56000;11.28000
30.44000;18.56000;11.56000
29.12000;17.96000;12.24000
29.72000;18.00000;12.28000
29.40000;17.68000;11.08000
29.92000;17.72000;10.72000
30.80000;17.68000;10.76000
28.72000;16.84000;11.20000
30.56000;16.32000;11.96000
28.68000;16.56000;12.00000
27.76000;17.80000;12.28000
28.84000;17.48000;11.96000
28.64000;17.00000;12.00000
29.04000;17.84000;12.32000
28.76000;17.16000;11.68000
28.84000;18.60000;11.88000
28.20000;17.36000;11.80000
27.92000;17.76000;12.16000
29.20000;18.36000;12.08000
29.80000;18.32000;10.48000
29.04000;17.44000;11.20000
29.52000;17.04000;10.84000
28.28000;18.28000;11.08000
28.88000;16.08000;11.56000
30.32000;16.68000;10.96000
29.04000;16.96000;10.76000
29.32000;17.28000;11.60000
28.60000;16.92000;12.20000
29.16000;16.92000;11.88000
29.36000;16.52000;11.32000
29.44000;17.36000;12.28000
29.44000;17.40000;11.12000
29.24000;18.20000;12.00000
29.76000;18.20000;12.48000
29.76000;17.52000;12.88000
29.96000;17.72000;12.32000
28.48000;17.68000;12.96000
30.12000;17.72000;12.52000
27.16000;16.76000;12.60000
28.48000;17.24000;12.80000
27.72000;18.04000;12.76000
29.16000;18.52000;13.36000
29.28000;18.08000;12.92000
30.48000;17.72000;12.64000
30.36000;17.08000;12.80000
29.92000;18.28000;13.60000
28.84000;18.48000;12.72000
28.84000;18.44000;12.12000
29.04000;18.36000;12.36000
28.96000;19.08000;12.32000
29.16000;18.68000;12.40000
27.64000;16.44000;12.36000
29.36000;18.16000;12.52000
30.32000;17.00000;12.84000
28.84000;17.00000;12.68000
30.20000;15.80000;12.72000
30.52000;17.32000;12.68000
30.00000;16.24000;12.24000
28.52000;15.80000;12.16000
29.48000;17.88000;12.32000
29.08000;17.96000;12.72000
29.36000;17.92000;13.24000
30.28000;18.04000;12.08000
29.60000;17.84000;11.36000
29.20000;17.88000;11.48000
29.52000;18.48000;11.48000
29.64000;17.60000;11.40000
29.04000;17.64000;11.40000
30.16000;17.24000;10.80000
29.88000;18.04000;11.04000
29.36000;16.84000;11.12000
28.64000;17.00000;12.00000
29.56000;17.28000;11.88000
29.12000;17.72000;12.24000
29.44000;17.28000;11.56000
29.04000;18.60000;11.48000
28.56000;18.12000;11.36000
28.64000;17.68000;10.88000
29.16000;17.24000;10.88000
29.60000;15.72000;10.88000
29.00000;17.24000;10.24000
29.24000;17.92000;10.20000
30.44000;17.32000;10.12000
29.84000;15.88000;9.80000
28.40000;16.96000;10.84000
28.68000;17.20000;11.44000
28.12000;17.20000;10.76000
30.44000;16.64000;10.68000
28.44000;16.48000;11.32000
30.40000;16.04000;10.88000
29.04000;17.36000;11.36000
30.32000;16.48000;11.44000
30.24000;16.44000;10.32000
28.72000;17.92000;11.00000
29.04000;17.44000;11.92000
30.96000;16.08000;11.28000
29.20000;16.56000;10.92000
27.92000;16.56000;9.96000
28.88000;16.96000;9.88000
29.76000;17.76000;10.60000
28.48000;17.24000;11.36000
29.20000;17.00000;11.52000
29.28000;15.88000;11.56000
28.48000;17.64000;11.64000
28.52000;18.28000;12.20000
26.68000;17.40000;11.96000
28.60000;16.88000;11.80000
28.32000;17.68000;11.92000
30.16000;17.60000;11.60000
29.20000;16.68000;11.36000
28.12000;17.88000;10.92000
29.60000;16.80000;11.68000
27.88000;17.28000;11.60000
29.32000;16.56000;11.24000
28.24000;17.36000;10.92000
27.64000;17.84000;11.08000
29.28000;17.48000;11.12000
28.68000;16.88000;11.00000
30.00000;15.52000;11.28000
30.64000;16.76000;11.80000
29.68000;15.88000;11.72000
31.12000;16.44000;11.88000
30.08000;17.32000;12.88000
29.96000;16.88000;11.80000
30.72000;17.04000;13.12000
29.72000;18.04000;13.36000
29.64000;18.08000;13.24000
27.48000;18.12000;12.20000
29.60000;17.92000;12.08000
30.12000;17.56000;12.60000
30.80000;18.52000;12.60000
28.40000;17.04000;12.08000
29.32000;17.16000;12.44000
28.20000;18.16000;12.20000
27.64000;18.08000;11.64000
28.96000;19.16000;11.76000
29.08000;18.68000;12.40000
